"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","28-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","826.5","0","0","0","0","0","-"
"NIFTY","29-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","833.25","0","0","0","0","0","10652.2"
"NIFTY","30-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","832","0","0","0","0","0","10651.8"
"NIFTY","31-Jan-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","692.35","0","0","0","0","0","10830.95"
"NIFTY","01-Feb-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","639.5","0","0","0","0","0","-"
"NIFTY","04-Feb-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","620.7","0","0","0","0","0","-"
"NIFTY","05-Feb-2019","28-Mar-2019","PE","11600","0","0","0","1051.1","0","598.65","0","0","0","0","0","-"
"NIFTY","06-Feb-2019","28-Mar-2019","PE","11600","524.05","539.1","470.35","539.1","539.1","539.1","6","54.43","2.23","300","300","11062.45"
"NIFTY","07-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","495.45","0","0","0","300","0","11069.4"
"NIFTY","08-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","602.85","0","0","0","300","0","-"
"NIFTY","11-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","646.9","0","0","0","300","0","-"
"NIFTY","12-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","695.7","0","0","0","300","0","-"
"NIFTY","13-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","728.25","0","0","0","300","0","10793.65"
"NIFTY","14-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","771.7","0","0","0","300","0","-"
"NIFTY","15-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","791.55","0","0","0","300","0","-"
"NIFTY","18-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","876.1","0","0","0","300","0","10640.95"
"NIFTY","19-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","912.75","0","0","0","300","0","10604.35"
"NIFTY","20-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","790.9","0","0","0","300","0","10735.45"
"NIFTY","21-Feb-2019","28-Mar-2019","PE","11600","0","0","0","539.1","539.1","740.25","0","0","0","300","0","10789.85"
"NIFTY","22-Feb-2019","28-Mar-2019","PE","11600","745","793.3","726.2","793.3","793.3","793.3","5","46.31","2.81","450","150","10791.65"
"NIFTY","25-Feb-2019","28-Mar-2019","PE","11600","720","720","716.85","718.45","718.45","718.45","8","73.91","4.31","1050","600","10880.1"
"NIFTY","26-Feb-2019","28-Mar-2019","PE","11600","780","780","696.7","696.7","696.7","696.7","26","240.42","14.22","2850","1800","-"
"NIFTY","27-Feb-2019","28-Mar-2019","PE","11600","655.9","790","633.6","745","745","745","35","322.96","18.46","4125","1275","10806.65"
"NIFTY","28-Feb-2019","28-Mar-2019","PE","11600","743","755","702","731.55","730.5","731.55","507","4686.68","275.78","40725","36600","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11600","707.65","716.65","668.15","678.9","681.1","678.9","155","1428.35","79.85","40950","225","-"
"NIFTY","05-Mar-2019","28-Mar-2019","PE","11600","745.2","745.2","560","561.25","566.55","561.25","638","5856.68","306.08","39825","-1125","10987.45"
"NIFTY","06-Mar-2019","28-Mar-2019","PE","11600","546.35","560.35","509","510.8","510.9","510.8","667","6069.36","266.46","43950","4125","11053"
"NIFTY","07-Mar-2019","28-Mar-2019","PE","11600","520","531.25","482.1","499.8","502.8","499.8","670","6086.28","257.28","43425","-525","11058.2"
"NIFTY","08-Mar-2019","28-Mar-2019","PE","11600","536","558.15","517","521.05","519.85","521.05","587","5339.8","232.9","41700","-1725","-"
"NIFTY","11-Mar-2019","28-Mar-2019","PE","11600","487.45","487.45","394.6","399.45","395.3","399.45","737","6651.78","239.88","44625","2925","11168.05"
"NIFTY","12-Mar-2019","28-Mar-2019","PE","11600","333.6","349.75","275.5","287.7","293","287.7","1593","14229.41","370.31","51300","6675","-"
"NIFTY","13-Mar-2019","28-Mar-2019","PE","11600","295","313.6","250.5","262.4","259","262.4","2881","25668.46","603.76","87075","35775","11341.7"
"NIFTY","14-Mar-2019","28-Mar-2019","PE","11600","263.35","284.5","235","246.9","240","246.9","3632","32299.53","701.13","141075","54000","11343.25"
"NIFTY","15-Mar-2019","28-Mar-2019","PE","11600","237.9","237.9","149.3","179.6","178","179.6","10230","90399.31","1398.31","180900","39825","11426.85"
"NIFTY","18-Mar-2019","28-Mar-2019","PE","11600","169.75","205","132.75","162.85","156","162.85","16720","147519.3","2055.3","237975","57075","11462.2"
"NIFTY","19-Mar-2019","28-Mar-2019","PE","11600","153.65","174.75","97","103.9","98.6","103.9","23595","207594.51","2318.01","438300","200325","11532.4"
"NIFTY","20-Mar-2019","28-Mar-2019","PE","11600","99","118","89","100.15","98","100.15","46371","406940.3","3512.6","595125","156825","11521.05"
"NIFTY","22-Mar-2019","28-Mar-2019","PE","11600","95","163.65","70.5","144.6","135.7","144.6","144863","1272261.79","11953.69","854775","259650","11456.9"
"NIFTY","25-Mar-2019","28-Mar-2019","PE","11600","175.15","256.5","175.1","227.45","224.3","227.45","21096","187053.9","3518.7","438975","-415800","11354.25"
"NIFTY","26-Mar-2019","28-Mar-2019","PE","11600","224","230.5","89.6","101.15","90.5","101.15","24973","219928.78","2663.68","418800","-20175","-"
"NIFTY","27-Mar-2019","28-Mar-2019","PE","11600","78.35","180.35","55.95","145.2","153.2","145.2","157457","1380745.91","10870.01","646950","228150","11445.05"
"NIFTY","28-Mar-2019","28-Mar-2019","PE","11600","139.2","147.95","21","28.65","30.5","0","185080","1618512.19","8316.19","183975","-462975","-"
